County,pop18
Adams,79853
Allegheny,956112
Armstrong,52672
Beaver,132008
Bedford,38594
Berks,311969
Blair,96993
Bradford,46882
Bucks,481698
Butler,148395
Cambria,105847
Cameron,3778
Carbon,51159
Centre,129351
Chester,379376
Clarion,31221
Clearfield,63159
Clinton,30613
Columbia,53342
Crawford,67023
Cumberland,193774
Dauphin,205351
Delaware,418456
Elk,24244
Erie,209151
Fayette,104206
Forest,6749
Franklin,117578
Fulton,11570
Greene,29280
Huntingdon,36519
Indiana,68218
Jefferson,34213
Juniata,18822
Lackawanna,161960
Lancaster,405060
Lawrence,68593
Lebanon,106457
Lehigh,266896
Luzerne,244740
Lycoming,89727
McKean,32575
Mercer,88667
Mifflin,35667
Monroe,130797
Montgomery,614644
Montour,14116
Northampton,234634
Northumberland,72866
Perry,35998
Philadelphia,1140501
Pike,44845
Potter,13208
Schuylkill,112746
Snyder,31863
Somerset,60220
Sullivan,5315
Susquehanna,32697
Tioga,32456
Union,36213
Venango,41326
Warren,31617
Washington,164857
Wayne,42192
Westmoreland,284485
Wyoming,21621
York,341222
